Oficina;Unidad;Organismo;Raiz;Nivel Administracion;Comunidad;Provincia;Fecha ActivaciÃ³n
O00002609 - REGISTRO GRAL. DE LA DELEGACION DE ECONOMIA Y HACIENDA EN ALMERIA - E/R;EA0028136 - DELEGACIÓN PROVINCIAL DE ECONOMIA Y HACIENDA EN ALMERÍA - INTERVENCIÓN TERRITORIAL;E05250001 - Ministerio de Hacienda;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;16/10/13
O00002609 - REGISTRO GRAL. DE LA DELEGACION DE ECONOMIA Y HACIENDA EN ALMERIA - E/R;EA0028134 - DELEGACIÓN PROVINCIAL DE ECONOMIA Y HACIENDA EN ALMERÍA;E05250001 - Ministerio de Hacienda;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;16/10/13
O00002609 - REGISTRO GRAL. DE LA DELEGACION DE ECONOMIA Y HACIENDA EN ALMERIA - E/R;EA0028137 - DELEGACIÓN PROVINCIAL DE ECONOMIA Y HACIENDA EN ALMERÍA - SECRETARÍA GENERAL;E05250001 - Ministerio de Hacienda;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;16/10/13
O00003032 - REGISTRO GENERAL DE LA GERENCIA TERRITORIAL DEL CATASTRO DE ALMERIA - E/R;EA0028135 - DELEGACIÓN PROVINCIAL DE ECONOMIA Y HACIENDA EN ALMERÍA - GERENCIA TERRITORIAL DEL CATASTRO;E05250001 - Ministerio de Hacienda;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003383 - CORREOS NIJAR - E;EA0024787 - CORREOS NIJAR;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003384 - CORREOS OLULA DEL RIO - E;EA0024816 - CORREOS OLULA DEL RIO;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003385 - CORREOS PULPI - E;EA0025009 - CORREOS PULPI;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003386 - CORREOS ROQUETAS DE MAR - E;EA0025056 - CORREOS ROQUETAS DE MAR;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003387 - CORREOS SANTA MARIA DEL AGUILA - E;EA0025193 - CORREOS SANTA MARIA DEL AGUILA;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003388 - CORREOS ADRA - E;EA0023336 - CORREOS ADRA;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003389 - CORREOS AGUADULCE - E;EA0023342 - CORREOS AGUADULCE;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003390 - CORREOS ALBOX - E;EA0023369 - CORREOS ALBOX;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
